no,Country,Population,NetChange,Density,LandArea
1,China,1439323776,5540090,153,9388211
2,India,1380004385,13586631,464,2973190
3,United States of America,331002651,1937734,36,9147420
4,Indonesia,273523615,2898047,151,1811570
5,Pakistan,220892340,4327022,287,770880
6,Brazil,212559417,1509890,25,8358140
7,Nigeria,206139589,5175990,226,910770
8,Bangladesh,164689383,1643222,"1,265",130170
9,Russia,145934462,62206,9,16376870
10,Mexico,128932753,1357224,66,1943950
11,Japan,126476461,-383840,347,364555
12,Ethiopia,114963588,2884858,115,1000000
13,Philippines,109581078,1464463,368,298170
14,Egypt,102334404,1946331,103,995450
15,Vietnam,97338579,876473,314,310070
16,Dem. Rep. Congo,89561403,2770836,40,2267050
17,Turkey,84339067,909452,110,769630
18,Iran,83992949,1079043,52,1628550
19,Germany,83783942,266897,240,348560
20,Thailand,69799978,174396,137,510890
21,United Kingdom,67886011,355839,281,241930
22,France,65273511,143783,119,547557
23,Italy,60461826,-88249,206,294140
24,Tanzania,59734218,1728755,67,885800
25,South Africa,59308690,750420,49,1213090
26,Myanmar,54409800,364380,83,653290
27,Kenya,53771296,1197323,94,569140
28,South Korea,51269185,43877,527,97230
29,Colombia,50882891,543448,46,1109500
30,Spain,46754778,18002,94,498800
31,Uganda,45741007,1471413,229,199810
32,Argentina,45195774,415097,17,2736690
33,Algeria,43851044,797990,18,2381740
34,Sudan,43849260,1036022,25,1765048
35,Ukraine,43733762,-259876,75,579320
36,Iraq,40222493,912710,93,434320
37,Afghanistan,38928346,886592,60,652860
38,Poland,37846611,-41157,124,306230
39,Canada,37742154,331107,4,9093510
40,Morocco,36910560,438791,83,446300
41,Saudi Arabia,34813871,545343,16,2149690
42,Uzbekistan,33469203,487487,79,425400
43,Peru,32971854,461401,26,1280000
44,Angola,32866272,1040977,26,1246700
45,Malaysia,32365999,416222,99,328550
46,Mozambique,31255435,889399,40,786380
47,Ghana,31072940,655084,137,227540
48,Yemen,29825964,664042,56,527970
49,Nepal,29136808,528098,203,143350
50,Venezuela,28435940,-79889,32,882050
51,Madagascar,27691018,721711,48,581795
52,Cameroon,26545863,669483,56,472710
53,Côte d'Ivoire,26378274,661730,83,318000
54,North Korea,25778816,112655,214,120410
55,Australia,25499884,296686,3,7682300
56,Niger,24206644,895929,19,1266700
57,Taiwan,23816775,42899,673,35410
58,Sri Lanka,21413249,89516,341,62710
59,Burkina Faso,20903273,581895,76,273600
60,Mali,20250833,592802,17,1220190
61,Romania,19237691,-126866,84,230170
62,Malawi,19129952,501205,203,94280
63,Chile,19116201,164163,26,743532
64,Kazakhstan,18776707,225280,7,2699700
65,Zambia,18383955,522925,25,743390
66,Guatemala,17915568,334096,167,107160
67,Ecuador,17643054,269392,71,248360
68,Syria,17500658,430523,95,183630
69,Netherlands,17134872,37742,508,33720
70,Senegal,16743927,447563,87,192530
71,Cambodia,16718965,232423,95,176520
72,Chad,16425864,478988,13,1259200
73,Somalia,15893222,450317,25,627340
74,Zimbabwe,14862924,217456,38,386850
75,Guinea,13132795,361549,53,245720
76,Rwanda,12952218,325268,525,24670
77,Benin,12123200,322049,108,112760
78,Burundi,11890784,360204,463,25680
79,Tunisia,11818619,123900,76,155360
80,Bolivia,11673021,159921,11,1083300
81,Belgium,11589623,50295,383,30280
82,Haiti,11402528,139451,414,27560
83,Cuba,11326616,-6867,106,106440
84,S. Sudan,11193725,131612,18,610952
85,Dominican Republic,10847910,108952,225,48320
86,Czech Republic (Czechia),10708981,19772,139,77240
87,Greece,10423054,-50401,81,128900
88,Jordan,10203134,101440,115,88780
89,Portugal,10196709,-29478,111,91590
90,Azerbaijan,10139177,91459,123,82658
91,Sweden,10099265,62886,25,410340
92,Honduras,9904607,158490,89,111890
93,United Arab Emirates,9890402,119873,118,83600
94,Hungary,9660351,-24328,107,90530
95,Tajikistan,9537645,216627,68,139960
96,Belarus,9449323,-3088,47,202910
97,Austria,9006398,51296,109,82409
98,Papua New Guinea,8947024,170915,20,452860
99,Serbia,8737371,-34864,100,87460
100,Israel,8655535,136158,400,21640
101,Switzerland,8654622,63257,219,39516
102,Togo,8278724,196358,152,54390
103,Sierra Leone,7976983,163768,111,72180
104,Hong Kong,7496981,60827,7140,1050
105,Laos,7275560,106105,32,230800
106,Paraguay,7132538,87902,18,397300
107,Bulgaria,6948445,-51674,64,108560
108,Libya,6871292,93840,4,1759540
109,Lebanon,6825445,-30268,667,10230
110,Nicaragua,6624554,79052,55,120340
111,Kyrgyzstan,6524195,108345,34,191800
112,El Salvador,6486205,32652,313,20720
113,Turkmenistan,6031200,89111,13,469930
114,Singapore,5850342,46005,8358,700
115,Denmark,5792202,20326,137,42430
116,Finland,5540720,8564,18,303890
117,Congo,5518087,137579,16,341500
118,Slovakia,5459642,2629,114,48088
119,Norway,5421241,42384,15,365268
120,Oman,5106626,131640,16,309500
121,State of Palestine,5101414,119994,847,6020
122,Costa Rica,5094118,46557,100,51060
123,Liberia,5057681,120307,53,96320
124,Ireland,4937786,55291,72,68890
125,Central African Rep.,4829767,84582,8,622980
126,New Zealand,4822233,39170,18,263310
127,Mauritania,4649658,123962,5,1030700
128,Panama,4314767,68328,58,74340
129,Kuwait,4270571,63488,240,17820
130,Croatia,4105267,-25037,73,55960
131,Moldova,4033963,-9300,123,32850
132,Georgia,3989167,-7598,57,69490
133,Eritrea,3546421,49304,35,101000
134,Uruguay,3473730,11996,20,175020
135,Bosnia and Herzegovina,3280819,-20181,64,51000
136,Mongolia,3278290,53123,2,1553560
137,Armenia,2963243,5512,104,28470
138,Jamaica,2961167,12888,273,10830
139,Qatar,2881053,48986,248,11610
140,Albania,2877797,-3120,105,27400
141,Puerto Rico,2860853,-72555,323,8870
142,Lithuania,2722289,-37338,43,62674
143,Namibia,2540905,46375,3,823290
144,Gambia,2416668,68962,239,10120
145,Botswana,2351627,47930,4,566730
146,Gabon,2225734,53155,9,257670
147,Lesotho,2142249,16981,71,30360
148,North Macedonia,2083374,-85,83,25220
149,Slovenia,2078938,284,103,20140
150,Guinea-Bissau,1968001,47079,70,28120
151,Latvia,1886198,-20545,30,62200
152,Bahrain,1701575,60403,2239,760
153,Equatorial Guinea,1402985,46999,50,28050
154,Trinidad and Tobago,1399488,4515,273,5130
155,Estonia,1326535,887,31,42390
156,Timor-Leste,1318445,25326,89,14870
157,Mauritius,1271768,2100,626,2030
158,Cyprus,1207359,8784,131,9240
159,Eswatini,1160164,12034,67,17200
160,Djibouti,988000,14440,43,23180
161,Fiji,896445,6492,49,18270
162,Réunion,895312,6385,358,2500
163,Comoros,869601,18715,467,1861
164,Guyana,786552,3786,4,196850
165,Bhutan,771608,8516,20,38117
166,Solomon Islands,686884,17061,25,27990
167,Macao,649335,8890,21645,30
168,Montenegro,628066,79,47,13450
169,Luxembourg,625978,10249,242,2590
170,Western Sahara,597339,14876,2,266000
171,Suriname,586632,5260,4,156000
172,Cabo Verde,555987,6052,138,4030
173,Micronesia,548914,5428,784,700
174,Maldives,540544,9591,1802,300
175,Malta,441543,1171,1380,320
176,Brunei,437479,4194,83,5270
177,Guadeloupe,400124,68,237,1690
178,Belize,397628,7275,17,22810
179,Bahamas,393244,3762,39,10010
180,Martinique,375265,-289,354,1060
181,Iceland,341243,2212,3,100250
182,Vanuatu,307145,7263,25,12190
183,French Guiana,298682,7850,4,82200
184,Barbados,287375,350,668,430
185,New Caledonia,285498,2748,16,18280
186,French Polynesia,280908,1621,77,3660
187,Mayotte,272815,6665,728,375
188,Sao Tome & Principe,219159,4103,228,960
189,Samoa,198414,1317,70,2830
190,Saint Lucia,183627,837,301,610
191,Channel Islands,173863,1604,915,190
192,Guam,168775,1481,313,540
193,Curaçao,164093,669,370,444
194,Kiribati,119449,1843,147,810
195,Grenada,112523,520,331,340
196,St. Vincent & Grenadines,110940,351,284,390
197,Aruba,106766,452,593,180
198,Tonga,105695,1201,147,720
199,U.S. Virgin Islands,104425,-153,298,350
200,Seychelles,98347,608,214,460
201,Antigua and Barbuda,97929,811,223,440
202,Isle of Man,85033,449,149,570
203,Andorra,77265,123,164,470
204,Dominica,71986,178,96,750
205,Cayman Islands,65722,774,274,240
206,Bermuda,62278,-228,1246,50
207,Marshall Islands,59190,399,329,180
208,Northern Mariana Islands,57559,343,125,460
209,Greenland,56770,98,0,410450
210,American Samoa,55191,-121,276,200
211,Saint Kitts & Nevis,53199,376,205,260
212,Faeroe Islands,48863,185,35,1396
213,Sint Maarten,42876,488,1261,34
214,Monaco,39242,278,26337,1
215,Turks and Caicos,38717,526,41,950
216,Saint Martin,38666,664,730,53
217,Liechtenstein,38128,109,238,160
218,San Marino,33931,71,566,60
219,Gibraltar,33691,-10,3369,10
220,British Virgin Islands,30231,201,202,150
221,Caribbean Netherlands,26223,244,80,328
222,Palau,18094,86,39,460
223,Cook Islands,17564,16,73,240
224,Anguilla,15003,134,167,90
225,Tuvalu,11792,146,393,30
226,Wallis & Futuna,11239,-193,80,140
227,Nauru,10824,68,541,20
228,Saint Barthelemy,9877,30,470,21
229,Saint Helena,6077,18,16,390
230,Saint Pierre & Miquelon,5794,-28,25,230
231,Montserrat,4992,3,50,100
232,Falkland Islands,3480,103,0,12170
233,Niue,1626,11,6,260
234,Tokelau,1357,17,136,10
235,Holy See,801,2,2003,0
